Site,Period,QQ,TrtType,ShortShrubCover,TallShrubCover,DeadBA,LiveBA,LiPineBAprop,LiveTPH_6t12,LiveTPH_12t24,LiveTPH_24t36,LiveTPH_GT36,TotLiveTPH_GT6,TotDeadTPH_GT6,LiPineTPHprop6to12
STF,1911,1190103,none,64,20,2.5,5.7,0.5,5.6,11.7,2.5,2.5,22.2,6.2,0.44
STF,1911,1190107,Mod,0,60,0.6,11.2,0.3,21.8,10.6,4.1,2.9,39.4,1.8,0.16
STF,1911,1190111,none,20,50,0,15.4,0.6,17.3,24.1,10.5,6.8,58.7,0,0.54
STF,1911,1190113,none,6,30,0,12.4,0.5,25.3,0.6,6.2,8.6,40.8,0,0.71
STF,1911,1190801,none,0,30,0,11.7,0.9,6.5,17.6,13.7,3.3,41,0,0.5
STF,1911,1190803,none,72,20,1,11.8,0.8,10.3,31.6,7.6,2.7,52.2,1.4,0.6
STF,1911,1190903,none,40,0,0.1,11.8,0.5,15.6,17.6,10.4,5.2,48.8,0.7,0.25
STF,1911,1190907,none,75,5,0.2,11.3,0.4,21.6,16.7,6.8,6.2,51.3,0.6,0.4
STF,1911,1191001,none,0,0,0.1,13.6,0.4,6.4,8.6,6.4,10.2,31.7,0.5,0.83
STF,1911,1191003,none,0,0,0,6,0.7,12.9,12.4,2.9,2.4,30.6,0,0.68
STF,1911,1191007,Thin,30,0,0,30.9,0.6,2.2,13.5,15.7,23.6,55,0,1
STF,1911,1191008,none,0,0,0,17.5,0.6,5.9,11.3,12.4,12.4,41.9,0,0.73
STF,1911,1191009,Thin,0,0,0.1,19.9,0.9,10.6,33.5,1.8,14.1,60,0.6,0.83
STF,1911,1191010,Thin,4,0,0.1,18.5,0.6,10.7,16.7,10.2,12.9,50.5,0.5,0.5
STF,1911,1191011,Thin,0,0,0,22.5,0.6,3,21.7,11.9,14.3,50.9,0,0.83
STF,1911,1191012,Thin,100,0,0,13.6,0.5,13.3,8.6,10.5,9,41.3,0,0.57
STF,1911,1191013,Thin,100,0,0,11.4,0.4,5.5,6.4,5.9,9.2,27,0,0.5
STF,1911,1191014,Thin,0,50,0.3,29.7,0.6,38.5,21.3,10.9,21.3,91.9,0.5,0.54
STF,1911,1191015,Thin,0,0,0,9.1,0.9,15,36,4.8,1.1,56.9,0,1
STF,1911,1191016,Thin,0,0,0,22,0.5,15.7,12.4,7.9,14,50,0,0.39
STF,1911,1191101,none,33,20,2.1,15,0.5,16.1,11.7,8.6,10.5,47,2.5,0.35
STF,1911,1191102,none,6,20,0.3,23,0.4,30,34.7,18.2,8.8,91.8,0.6,0.65
STF,1911,1191104,none,21,15,0.2,15.3,0.6,17.7,16.7,3.2,11.8,49.4,0.5,0.7
STF,1911,1191105,Thin,70,20,1.4,19.4,0.4,7,18.8,15,11.8,52.6,2.1,0.38
STF,1911,1191106,Thin,45,30,0,29.8,0.4,5.1,25.8,18,19.1,68,0,0
STF,1911,1191108,none,26,40,0,15.3,0.5,18.5,22.2,9.3,7.4,57.5,0,0.3
STF,1911,1191109,none,6,30,0,19,0.6,7.4,26.6,15.4,8.6,58.1,0,0.67
STF,1911,1191111,none,35,20,1.6,16.5,0.7,28.4,24.7,17.9,3.1,74.1,1.9,0.63
