MacroPlot Name,Monitoring Status,Unit #,Date,TagNo,Status,DBH (cm),DBH (in),>24in,Ht (m),Ht (ft),CrwnRto,CrwnCl,LiCrBHt (m),LiCrBHt (ft),CrFuBHt,CrwnRad (m),CrwnRad (ft),DecayCl,CharHt (m),CharHt (ft),ScorchHt (m),ScorchHt (ft),Crown Scorch %,Comment,Fuel Depth at Base (cm),Fuel Depth at Base (in),Fuel Depth at 1m (cm),Fuel Depth at 1m (in),Crown Torch %,Health Category (1-5),MacroPlotSize,SnagPlotSize,BrkPntDia,SaComment,Species Symbol
Plot_024,PostBurnYear1,H,8/5/20 11:25,212,L,13.1,5.1574831,no,3.8,12.467192,73.7,I,1,3.28084,,1,3.28084,,,0,,0,0,,0,,2.5,,0,,,,,,PIJE
Plot_024,PostBurnYear1,H,8/5/20 11:25,213,L,84.6,33.3071046,yes,22.8,74.803152,42.1,C,13.2,43.307088,,4.5,14.76378,,,0,,0,0,,0.5,,4,,0,,,,,,PIJE
Plot_024,PostBurnYear1,H,8/5/20 11:25,214,L,49.3,19.4094593,no,10.6,34.776904,69.8,I,3.2,10.498688,,3.5,11.48294,,,0,,0,0,,0.25,,3.5,,0,,,,,,PIJE
Plot_024,PostBurnYear1,H,8/5/20 11:25,215,L,62.6,24.6456826,yes,22.2,72.834648,32.4,C,15,49.2126,,3,9.84252,,,0,,0,0,,0.25,,5.5,,0,,,,,,PIJE
Plot_024,PostBurnYear1,H,8/5/20 11:25,216,L,49.75,19.58662475,no,11.4,37.401576,47.4,I,6,19.68504,,2.25,7.38189,,,0,,0,0,,2.5,,4,,0,,,,,,PIJE
Plot_024,PostBurnYear1,H,8/5/20 11:25,217,L,31.9,12.5590619,no,12,39.37008,76.7,C,2.8,9.186352,,2,6.56168,,,0,,0,0,,3,,4,,0,,,,,,ABCO
Plot_024,PostBurnYear1,H,8/5/20 11:25,218,L,26.7,10.5118167,no,11.5,37.72966,78.3,C,2.5,8.2021,,2,6.56168,,,0,,0,0,,3,,4,,0,,,,,,ABCO
Plot_024,PostBurnYear1,H,8/5/20 11:25,219,L,37.6,14.8031576,no,9.2,30.183728,73.9,C,2.4,7.874016,,2.25,7.38189,,,0,,0,0,,0.5,,3,,0,,,,,,PIJE
Plot_024,Pre,H,8/28/18 15:38,212,L,12.4,4.8818924,no,3.6,11.811024,66.7,I,1.2,3.937008,,1.05,3.444882,,,0,,0,0,,5.5,,6.5,,0,1,,,,,PIJE
Plot_024,Pre,H,8/28/18 15:38,213,L,85.2,33.5433252,yes,22.6,74.146984,58.4,C,9.4,30.839896,,4.5,14.76378,,,0,,0,0,,3.5,,8,,0,2,,,,,PIJE
Plot_024,Pre,H,8/28/18 15:38,214,L,49.4,19.4488294,no,11,36.08924,36.4,I,7,22.96588,,3.5,11.48294,,,0,,0,0,,3,,5,,0,2,,,,,PIJE
Plot_024,Pre,H,8/28/18 15:38,215,L,61.8,24.3307218,yes,19.2,62.992128,45.3,C,10.5,34.44882,,2,6.56168,,,0,,0,0,,4,,6.5,,0,2,,,,,PIJE
Plot_024,Pre,H,8/28/18 15:38,216,L,49.4,19.4488294,no,11.6,38.057744,31,I,8,26.24672,,2.5,8.2021,,,0,,0,0,,3,,5,,0,1,,,,,PIJE
Plot_024,Pre,H,8/28/18 15:38,217,L,31.1,12.2441011,no,11,36.08924,80,I,2.2,7.217848,,1.9,6.233596,,,0,,0,0,,14,,3,,0,1,,,,,ABCO
Plot_024,Pre,H,8/28/18 15:38,218,L,25.8,10.1574858,no,9.8,32.152232,77.6,I,2.2,7.217848,,1.5,4.92126,,,0,,0,0,,14,,3,,0,1,,,,,ABCO
Plot_024,Pre,H,8/28/18 15:38,219,L,36.4,14.3307164,no,8.2,26.902888,70.7,I,2.4,7.874016,,2.4,7.874016,,,0,,0,0,,3,,8.5,,0,1,,,,,PIJE
Plot_025,PostBurnYear1,H,8/5/20 11:26,220,D,24.35,9.58661935,no,5.8,19.028872,,,,0,,,,1,,0,,0,0,,,,,,0,,,,,,PIJE
Plot_025,PostBurnYear1,H,8/5/20 11:26,221,L,34.1,13.4252041,no,11.2,36.745408,71.4,I,3.2,10.498688,,1,3.28084,,0.4,1.312336,3.4,11.154856,0.5,,0.5,,0.25,,0,,,,,,PIJE
Plot_025,PostBurnYear1,H,8/5/20 11:26,222,L,32.85,12.93307785,no,12.8,41.994752,62.5,I,4.8,15.748032,,1.35,4.429134,,1.8,5.905512,6,19.68504,3,,2,,4.25,,0,,,,,,PIJE
Plot_025,PostBurnYear1,H,8/5/20 11:26,223,L,51,20.078751,no,15.4,50.524936,71.4,C,4.4,14.435696,,2,6.56168,,1.1,3.608924,4.6,15.091864,0.5,,0.375,,2.5,,0,,,,,,PIJE
Plot_025,Pre,H,8/28/18 15:38,220,L,24.1,9.4881941,no,5.6,18.372704,58.9,I,2.3,7.545932,,1.15,3.772966,,,0,,0,0,,11.5,,15,,0,1,,,,,PIJE
Plot_025,Pre,H,8/28/18 15:38,221,L,33.3,13.1102433,no,9.4,30.839896,70.2,I,2.8,9.186352,,1.25,4.10105,,,0,,0,0,,11,,6,,0,2,,,,,PIJE
Plot_025,Pre,H,8/28/18 15:38,222,L,32.2,12.6771722,no,12.2,40.026248,72.1,I,3.4,11.154856,,1.3,4.265092,,,0,,0,0,,13,,7.5,,0,2,,,,,PIJE
Plot_025,Pre,H,8/28/18 15:38,223,L,50.5,19.8819005,no,15,49.2126,70,C,4.5,14.76378,,2,6.56168,,,0,,0,0,,11.5,,11.5,,0,2,,,,,PIJE
Plot_026,PostBurnYear1,H,8/6/20 11:27,224,L,65.8,25.9055258,yes,13.8,45.275592,79.7,D,2.8,9.186352,,3.25,10.66273,,0,0,0,0,0,,4.5,,2.5,,0,,,,,,PIJE
Plot_026,PostBurnYear1,H,8/6/20 11:27,225,D,,0,no,2.4,7.874016,,,,0,,,,5,,0,,0,0,,,,,,0,,,,,,ABCO
Plot_026,PostBurnYear1,H,8/6/20 11:27,226,L,36.1,14.2126061,no,3.4,11.154856,41.2,O,2,6.56168,,3.7,12.139108,,0,0,0,0,0,,4.75,,2.5,,0,,,,,,PIJE
Plot_026,Pre,H,8/28/18 15:38,224,L,66.3,26.1023763,yes,12.5,41.0105,55.2,D,5.6,18.372704,,3.5,11.48294,,,0,,0,0,,2,,4,,0,1,,,,,PIJE
Plot_026,Pre,H,8/28/18 15:38,225,D,39.4,15.5118194,no,1.8,5.905512,,,,0,,,,5,,0,,0,0,,16.5,,2,,0,,,,,,ABCO
Plot_026,Pre,H,8/28/18 15:38,226,D,59,23.228359,no,5.8,19.028872,,,,0,,,,3,,0,,0,0,,3.25,,2,,0,,,,,,ABCO
Plot_026,Pre,H,8/28/18 15:38,227,D,11,4.330711,no,3,9.84252,,,,0,,,,1,,0,,0,0,,3,,0,,0,,,,,,ABCO
Plot_026,Pre,H,8/28/18 15:38,228,L,35.8,14.0944958,no,4.1,13.451444,46.3,O,2.2,7.217848,,0.9,2.952756,,,0,,0,0,,25.5,,22,,0,1,,,,,PIJE
Plot_027,PostBurnYear1,H,8/6/20 11:28,230,L,80.6,31.7323006,yes,21.2,69.553808,34.9,C,13.8,45.275592,,3.5,11.48294,,1,3.28084,14,45.93176,3,,1.5,,4.25,,0,,,,,,PIJE
Plot_027,PostBurnYear1,H,8/6/20 11:28,231,L,78,30.708678,yes,22.2,72.834648,32.4,C,15,49.2126,,4.25,13.94357,,0,0,0,0,0,,0.5,,2.75,,0,,,,,,PIJE
Plot_027,PostBurnYear1,H,8/6/20 11:28,232,L,70.3,27.6771803,yes,18.6,61.023624,22.6,C,14.4,47.244096,,3.25,10.66273,,0.15,0.492126,0,0,0,,2,,3,,0,,,,,,PIJE
Plot_027,Pre,H,8/28/18 15:38,230,L,78.6,30.9448986,yes,20.2,66.272968,40.6,C,12,39.37008,,3,9.84252,,,0,,0,0,,7,,10,,0,2,,,,,PIJE
Plot_027,Pre,H,8/28/18 15:38,231,L,78.1,30.7480481,yes,21,68.89764,30.5,C,14.6,47.900264,,4,13.12336,,,0,,0,0,,1,,13,,0,2,,,,,PIJE
