Project,Date,ID,Treatment,Tag #,Status,Species,DBH (cm),DBH (ft),Height (m),Heigt to crown (m),Crown class,Crown width,Decay class,Tree health (1-5),Notes,BA_Indiv. (sq ft)
Bluff Mesa,2016,1,,175,D,ABCO,41.6,1.36482944,1.8,NA,NA,NA,5,5,,1.463007812
Bluff Mesa,2016,2,,193,L,PIJE,16.3,0.53477692,5,2.2,OP,2,NA,1,,0.2246131573
Bluff Mesa,2016,2,,194,L,PIJE,15.7,0.51509188,4.4,1.8,OP,2,NA,1,,0.2083815618
Bluff Mesa,2016,2,,195,L,ABCO,77.9,2.55577436,23.2,4.5,CO,8,NA,1,,5.130207121
Bluff Mesa,2016,2,,196,L,ABCO,10.7,0.35104988,4.1,1.5,IM,1,NA,1,In Salix patch,0.0967893424
Bluff Mesa,2016,2,,197,L,ABCO,9.6,0.31496064,3.6,1.5,IM,1,NA,1,,0.07791165862
Bluff Mesa,2016,2,,198,L,PIJE,13.8,0.45275592,6.4,2.6,OP,2,NA,1,,0.1609971383
Bluff Mesa,2016,3,,956,L,ABCO,34.8,1.14173232,8.6,3.4,OP,4,NA,1,,1.023807889
Bluff Mesa,2016,3,,957,L,PIJE,51.5,1.6896326,11.4,3.4,OP,5,NA,1,,2.242200484
Bluff Mesa,2016,3,,958,L,ABCO,10.9,0.35761156,3,1.4,OP,1.5,NA,1,,0.1004414514
Bluff Mesa,2016,3,,959,L,ABCO,32.9,1.07939636,8.2,2.6,OP,3,NA,1,,0.9150646528
Bluff Mesa,2016,3,,960,L,PIJE,32.3,1.05971132,7.4,2.6,OP,4,NA,1,,0.8819927769
Bluff Mesa,2016,3,,961,L,ABCO,30.5,1.0006562,6.8,3.2,OP,3.5,NA,1,,0.7864292581
Bluff Mesa,2016,3,,962,L,PIJE,33.9,1.11220476,6.6,2.6,OP,4,NA,1,,0.971537079
Bluff Mesa,2016,4,,163,L,PILA,101.3,3.32349092,16.6,5.8,DO,14,NA,2,HALF BROKEN OFF,8.675187588
Bluff Mesa,2016,5,,950,L,PIJE,46,1.5091864,15.4,4.6,NR,6,NA,1,,1.788857092
Bluff Mesa,2016,5,,951,L,ABCO,27.5,0.902231,12.6,3.2,NR,4,NA,1,,0.6393304235
Bluff Mesa,2016,5,,952,L,PIJE,62.9,2.06364836,20.4,6,NR,5,NA,1,,3.344731611
Bluff Mesa,2016,5,,953,L,PIJE,62.9,2.06364836,20.2,7,NR,6,NA,1,,3.344731611
Bluff Mesa,2016,5,,954,L,PIJE,72,2.3622048,17.2,7,NR,5,NA,1,,4.382530797
Bluff Mesa,2016,5,,955,L,PIJE,41.4,1.35826776,14.8,3.4,NR,4,NA,1,,1.448974245
Bluff Mesa,2016,6,,186,L,PIJE,84,2.7559056,23.8,6,DO,8,NA,1,,5.965111363
Bluff Mesa,2016,6,,187,L,PIJE,68.1,2.23425204,21,17.2,CO,6,NA,1,,3.920615095
Bluff Mesa,2016,6,,188,D,ABCO,79.8,2.61811032,21.4,NA,NA,NA,3,5,,5.383513005
Bluff Mesa,2016,8,,909,L,PIJE,15.3,0.50196852,7,2,IN,3,NA,1,,0.1978986563
Bluff Mesa,2016,8,,910,L,PIJE,30.7,1.00721788,10.2,4,IN,3,NA,1,,0.7967769003
Bluff Mesa,2016,8,,911,L,PIJE,20.9,0.68569556,10,3.8,IN,1,NA,1,,0.3692772526
Bluff Mesa,2016,8,,912,L,PIJE,31.9,1.04658796,9.8,4.4,IN,4,NA,1,,0.8602830179
Bluff Mesa,2016,8,,913,L,PIJE,27.6,0.90551184,10,4.4,IN,4,NA,1,,0.6439885533
Bluff Mesa,2016,8,,914,L,PIJE,35.2,1.15485568,9.8,4.8,IN,3,NA,1,,1.047478966
Bluff Mesa,2016,8,,915,L,PIJE,20.5,0.6725722,7,3.8,IN,1.5,NA,1,,0.3552775015
Bluff Mesa,2016,8,,916,L,PIJE,19.9,0.65288716,7,3.2,IN,1.5,NA,1,,0.3347851121
