Site_Year,Plot ID,Treatment Unit,Easting,Northing, Cover (%),,,,,Tree Density (trees per acre),,,,,,Basal Area (ft2 per acre),,,,,,,,,,, Fuel Loading (tons per acre),,,,,,Fuel Height (in),,,,Distance to crown (ft) 
,,,,,TREE,SHRUB,HERB,CHEATGRASS,Total Exotic Grass,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,"Cedar, LIVE","Pinus spp, LIVE",Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,"Fine Fuels (1, 10, 100 hr)",1hr ,10hr,100hr,CWD,Total,Duff,Litter,Duff/Litter,Fuel ,
Laguna_2015,17,13,553628,3635418,45,2,62.5,40,40.5,10,71,0,0,140,,0,,0,0,0,8.649269125,0,73.44420425,120,,120,2.087,0.066,0.350,1.671,9.348,11.435,1.22,5.27,6.50,6.50,1.93
Laguna_2015,18,23,553508,3635564,25,0,55.5,40,40.5,40,61,10,2056,70,,20,,0,0,20,14.51671762,20,104.927171,140,,160,4.216,0.123,1.840,2.252,16.439,20.655,6.00,3.87,9.87,9.87,1.87
Laguna_2015,19,13,553614,3635711,15,0,29.5,0.5,0.5,0,51,0,0,0,,0,,20,0,0,0,0,13.75215316,40,,40,0.787,0.158,0.070,0.560,4.260,5.048,2.50,1.69,4.19,4.19,1.44
Laguna_2015,20,13,553480,3635911,30,45,47,10,10,0,10,0,0,910,,0,,40,0,20,0,20,63.99667133,60,,80,1.150,0.244,0.628,0.278,0.000,1.150,6.81,3.94,10.75,10.75,0.00
Laguna_2015,21,23,553197,3635932,25,15,76,60,60,10,30,30,0,0,,0,,10,10,60,27.59445633,70,35.39807731,20,,90,4.074,0.075,1.990,2.010,1.902,5.976,7.44,3.25,10.69,10.69,13.37
Laguna_2015,22,13,553323,3636120,60,0,17,8,8,40,61,30,0,2100,,10,,30,30,40,61.39592051,70,144.4229682,40,,110,1.236,0.117,0.841,0.278,16.994,18.230,4.87,3.75,8.62,8.62,10.33
Laguna_2015,23,23,553069,3636128,15,1,43,27,28,10,40,0,350,350,,10,,0,0,40,40.72146108,40,37.32090689,50,,90,2.822,0.075,1.068,1.678,0.934,3.756,4.87,3.19,8.06,8.06,5.64
Laguna_2015,24,13,553068,3636349,50,15,17.5,2,2,132,61,30,70,770,,10,,10,100,10,66.95460094,110,104.8226517,40,,150,1.271,0.140,0.847,0.284,6.804,8.075,3.25,2.12,5.37,5.37,7.79
Laguna_2015,29,58,553330,3637049,35,7,39,18,19,0,40,10,0,0,,0,,0,0,20,0,20,92.88803905,40,,60,1.287,0.040,0.417,0.830,0.000,1.287,1.06,3.12,4.19,4.19,4.92
Laguna_2015,30,58,553356,3637300,35,15,45.5,32,32.5,40,0,30,0,1050,,10,,30,40,10,63.83484607,50,0,0,,50,1.451,0.062,1.112,0.277,4.048,5.498,3.06,6.12,9.19,9.19,12.80
Laguna_2015,31,58,553476,3637432,60,0.5,15.5,5,5,51,71,0,70,12250,,160,,0,0,0,65.6469126,0,71.36040472,80,,80,2.643,0.154,1.382,1.107,0.821,3.464,2.12,5.94,8.06,8.06,3.91
Laguna_2015,32,58,553623,3637293,0.5,35,39.5,30,30,0,0,142,420,700,,35,,30,0,5,0,5,0,5,,10,4.145,0.048,1.276,2.822,7.092,11.237,2.37,7.77,10.15,10.15,N/A
Laguna_2015,33,17,552541,3636388,10,20,30,3,3,40,0,0,0,280,,0,,30,0,70,82.1547138,70,0,0,,70,1.969,0.063,0.780,1.126,0.000,1.969,3.87,5.50,9.37,9.37,13.53
Laguna_2015,34,19,552255,3636674,5,3,22.5,5,5,20,10,0,0,0,,0,,0,5,20,22.48387448,25,4.027584291,5,,30,0.475,0.058,0.417,0.000,0.000,0.475,2.00,4.00,6.00,6.00,0.44
Laguna_2015,36,17,552295,3636606,45,3,10.5,0.5,1,263,0,71,70,1470,,0,,40,80,60,97.06940865,140,0,0,,140,2.781,0.069,0.768,1.944,23.422,26.203,5.19,4.50,9.69,9.69,9.45
Laguna_2015,37,19,552050,3636696,15,0,37.5,6,6.5,61,0,0,0,0,,0,,5,25,5,80.75422398,30,0,0,,30,1.654,0.334,1.043,0.277,0.821,2.475,4.87,2.12,7.00,7.00,0.71
Laguna_2015,38,17,552733,3636826,10,40,27,5,6,40,30,0,70,70,,0,,20,20,60,72.41389399,80,79.95270999,60,,140,1.121,0.149,0.695,0.277,10.224,11.344,2.87,3.69,6.56,6.56,7.64
Laguna_2015,39,17,551939,3637001,55,1,17.5,3,3.5,344,51,6,0,1190,,0,,0,360,0,178.4556236,360,61.92724106,160,,520,3.260,0.207,1.947,1.107,97.690,100.950,5.56,5.50,11.06,11.06,6.13
Laguna_2015,40,19,551890,363886,30,3,42.5,9,9,71,0,30,0,700,,0,,0,0,80,86.93830943,80,0,80,,160,5.795,0.044,2.155,3.596,156.866,162.661,5.50,5.19,10.69,10.69,12.14
Laguna_2015,41,59,553018,363766,22,12,25.5,6,9.5,20,0,10,0,140,,0,,20,0,20,49.5124556,20,0,50,,70,0.596,0.040,0.556,0.000,0.891,1.487,2.12,4.57,6.70,6.70,4.59
Laguna_2015,42,59,552698,3637639,12,55,29,6,8,30,0,0,0,70,,0,,10,0,40,35.72044485,40,0,30,,70,0.704,0.000,0.427,0.277,6.749,7.452,0.71,1.57,2.29,2.29,7.00
Laguna_2015,43,59,552540,3637770,35,5,26.5,9,9.5,n/a,n/a,n/a,0,0,,0,,30,0,70,n/a,70,n/a,0,,70,3.426,0.098,1.668,1.660,0.589,4.015,1.05,1.42,2.47,2.47,N/A
Laguna_2015,44,59,552738,3637840,10,75,16.5,2,3,20,0,20,0,0,,0,,15,0,20,27.30382091,20,0,5,,25,1.522,0.065,0.904,0.553,0.000,1.522,0.87,1.56,2.44,2.44,1.80
Laguna_2015,45,10,552039,3638050,55,0,22.5,0.5,5.5,152,0,0,0,140,,0,,20,0,140,171.9286431,140,0,0,,140,1.343,0.025,0.765,0.553,0.000,1.343,3.12,11.00,14.12,14.12,10.38
Laguna_2015,46,10,551925,3638206,35,50,18.5,0.5,1.5,121,30,0,140,350,,10,,0,0,60,127.6714883,60,2.93115831,0,,60,3.420,0.025,1.182,2.213,0.000,3.420,3.81,7.37,11.19,11.19,9.27
Laguna_2015,47,10,552018,3638489,60,5,12.5,0.5,0.5,61,40,10,280,840,,0,,0,0,50,68.01578801,50,18.93920002,20,,70,2.723,0.022,0.765,1.936,52.115,54.838,3.87,11.75,15.62,15.62,5.74
Laguna_2015,48,10,552114,3638249,20,15,34.5,4,10,0,10,0,0,140,,0,,0,0,10,0,10,45.08150561,25,,35,3.998,0.150,2.447,1.401,12.129,16.127,5.25,7.69,12.94,12.94,3.28
Laguna_2015,57,Control,550439,3639206,35,0,55,6,8.5,61,0,10,0,0,,0,,20,0,120,104.0744237,120,0,40,,160,0.584,0.029,0.278,0.277,3.975,4.559,2.62,1.75,4.37,4.37,17.72
Laguna_2015,58,Control,550732,3638484,75,0,74.5,1,2,91,0,10,0,0,,20,,0,0,220,250.3466646,220,0,0,,220,2.723,0.022,0.765,1.936,0.000,2.723,3.31,4.00,7.31,7.31,28.94
Laguna_2015,59,Control,550470,3639313,28,2,43.5,1,17.5,40,0,0,0,0,,0,,0,0,70,64.77158508,70,0,0,,70,1.882,0.023,0.713,1.146,0.726,2.608,2.00,1.50,3.50,3.50,16.49
Laguna_2015,60,Control,550551,3639277,65,7,75,0,40,142,20,20,0,70,,0,,10,0,80,163.8724481,80,2.01896679,0,,80,2.537,0.028,1.296,1.213,1.291,3.829,2.87,4.56,7.44,7.44,14.33
Laguna_2015,61,Control,550539,3639030,63,2,36.5,0.5,1,111,10,10,0,280,,0,,0,0,160,140.1428955,160,15.37647844,20,,180,3.580,0.183,0.627,2.770,4.626,8.206,5.62,3.25,8.87,8.87,17.88
Laguna_2015,62,Control,550546,3638707,20,0.5,62.5,3,35.5,40,0,20,70,210,,10,,20,0,80,73.8613405,80,0,0,,80,3.118,0.044,1.413,1.660,76.542,79.659,5.62,4.94,10.56,10.56,19.03
Laguna_2015,63,Control,550736,3638547,38,2,55,0.5,14,61,0,10,0,0,,20,,20,0,120,64.77543399,120,0,0,,120,7.145,0.092,1.628,5.425,16.352,23.497,2.12,3.19,5.31,5.31,11.70
Laguna_2015,64,Control,550854,3638687,35,2,45.5,3,9.5,61,0,30,0,280,,0,,10,0,30,84.8061847,30,0,20,,50,2.662,0.033,0.639,1.990,6.610,9.272,4.00,2.37,6.37,6.37,5.09
Laguna_2015,65,Control,549735,3639077,50,0,42,0.5,1,182,71,0,0,560,,0,,20,0,100,97.06915206,100,87.88334497,60,,160,1.217,0.040,0.348,0.830,3.907,5.124,5.25,5.44,10.69,10.69,10.09
Laguna_2015,66,Control,549756,3638824,25,0,44,10,15,51,0,10,70,0,,0,,10,0,120,64.66988834,120,0,0,,120,1.122,0.011,0.834,0.277,22.082,23.204,4.62,4.75,9.37,9.37,10.83
Laguna_2015,67,Control,549940,3638574,25,10,31,1,1.5,101,0,0,0,0,,0,,20,0,120,128.8141867,120,0,0,,120,2.928,0.084,1.738,1.107,0.821,3.749,5.12,5.81,10.94,10.94,9.02
Laguna_2015,68,Control,549714,3638527,40,0,43.5,0.5,2,40,40,20,0,70,,20,,0,0,100,41.78290475,100,78.87903534,100,,200,2.548,0.116,2.155,0.277,45.600,48.148,3.25,4.87,8.12,8.12,4.84
Laguna_2015,69,Control,549808,3638309,65,5,38,4,5.5,0,61,0,70,420,,0,,0,0,0,0,0,72.87798692,80,,80,1.955,0.084,0.765,1.107,36.328,38.283,1.81,2.12,3.94,3.94,3.94
Laguna_2015,70,Control,549689,3638115,60,3,37,0.5,1,61,10,10,70,420,,20,,0,0,80,109.7755993,80,11.02336195,60,,140,8.447,0.239,2.745,5.463,91.385,99.832,4.31,7.41,11.73,11.73,11.48
