Project,Date,ID,Treatment,Tag #,Status,Species,DBH (cm),Height (m),Heigt to crown (m),Crown class,Crown width,Decay class,Tree health (1-5),Bole Char,Scorch HT (m),Scorch %,Torch Ht (m),Torch %,Notes,DBH (ft),Basal Area (sq ft) Indiv.
Laguna Mtn,2017,20,,25,L,QUKE,87.2,15.6,1,CO,13.4,,2,0,0,0,0,0,,2.861032,6.428879891
Laguna Mtn,2017,20,,893,L,QUKE,67.1,12,1.5,CO,10.3,,1,0,0,0,0,0,New Tag,2.201551,3.806688871
Laguna Mtn,2017,22,,34,L,CADE,49.5,18,7.8,CO,8,,2,3.5,6,50,0,0,,1.624095,2.071632616
Laguna Mtn,2017,22,,35,L,QUKE,23.9,8.6,2,CO,3,,1,0,0,0,0,0,,0.784159,0.4829455226
Laguna Mtn,2017,22,,36,D,QUKE,,,,,,5,,,,,,,Downed- Now coarse woody debris,0,0
Laguna Mtn,2017,22,,37,L,PIJE,45.2,20.6,7.4,CO,5,,1,2.6,0,0,0,0,,1.483012,1.727345495
Laguna Mtn,2017,22,,40,L,PIJE,49.7,20.1,9.6,CO,6,,2,5,0,0,0,0,,1.630657,2.088406901
Laguna Mtn,2017,22,,41,D,QUKE,43.1,10,,,,1,,,,,,,,1.414111,1.570568499
Laguna Mtn,2017,22,,42,L,PIJE,17.3,6.4,2,IN,3,,2,0,0,0,0,0,,0.567613,0.2530431285
Laguna Mtn,2017,22,,826,D,QUKE,N/A,N/A,N/A,N/A,N/A,5,,2.4,N/A,N/A,N/A,N/A,Previously tag# 43. Too burnt for DBH.,N/A,N/A
Laguna Mtn,2017,22,,44,L,QUKE,68.1,20.4,2.5,CO,4,,1,0,0,0,0,0,,2.234361,3.920997505
Laguna Mtn,2017,22,,45,L,QUKE,53.3,14,2.5,CO,8,,1,0,0,0,0,0,,1.748773,2.401910165
Laguna Mtn,2017,98,,509,L,QUKE,45.7,15.8,3.4,CO,6.5,,1,0,0,0,0,0,,1.499417,1.765772473
Laguna Mtn,2017,98,,510,L,PIJE,21.05,9.4,2.4,IN,4.75,,2,0,0,0,0,0,,0.6906505,0.374633442
Laguna Mtn,2017,98,,511,L,QUKE,46.9,19.6,2,CO,9.13,,2,0,0,0,0,0,,1.538789,1.859721995
Laguna Mtn,2017,98,,515,L,PIJE,9.8,4.8,1,OV,0.5,,2,0.5,0,0,0,0,,0.321538,0.08119971287
Laguna Mtn,2017,98,,512,L,CADE,41.15,14.6,2,CO,5,,2,2,0,0,0,0,,1.3501315,1.431667022
Laguna Mtn,2017,98,,513,D,QUKE,34.4,7.4,,,,,,,,,,,,1.128664,1.000504917
Laguna Mtn,2017,98,,516,L,CADE,31.15,11.2,2.2,CO,4.8,,1,1.8,0,0,0,0,,1.0220315,0.8203863847
Laguna Mtn,2017,98,,517,L,CADE,44.8,9.8,5.4,CO,4.3,,3,2.6,0,0,0,0,,1.469888,1.696908285
Laguna Mtn,2017,98,,518,L,CADE,53.6,14.8,6.6,CO,5.6,,3,2.8,0,0,0,0,,1.758616,2.429024647
Laguna Mtn,2017,98,,519,D,QUKE,40.9,9.8,,,,,,,,,,,,1.341929,1.414324153
Laguna Mtn,2017,98,,520,L,CADE,26.25,8.2,4,IN,3.85,,3,1.6,0,0,0,0,,0.8612625,0.5825872256
Laguna Mtn,2017,98,,521,L,CADE,21.3,10.8,4.4,CO,3.3,,3,2.4,0,0,0,0,,0.698853,0.383584941
Laguna Mtn,2017,98,,522,L,QUKE,71.3,10.4,3.2,IN,9.1,,3,0,0,0,0,0,,2.339353,4.298148358
Laguna Mtn,2017,98,,524,L,CADE,29.15,11.8,2.2,CO,4.45,,2,0,0,0,0,0,,0.9564115,0.7184217307
Laguna Mtn,2017,98,,525,L,QUKE,29.1,8,1,IN,8.15,,3,0,0,0,0,0,,0.954771,0.7159592759
Laguna Mtn,2017,98,,526,L,QUKE,39.6,14.2,4.3,CO,9.05,,3,0,0,0,0,0,,1.299276,1.325844874
Laguna Mtn,2017,98,,527,L,CADE,49.8,15.4,1,CO,6.45,,2,5.4,0,0,0,0,,1.633938,2.096819408
Laguna Mtn,2017,97,,514,L,CADE,23.2,8.6,3.5,IN,3.75,,1,3,0,0,0,0,,0.761192,0.4550701109
Laguna Mtn,2017,97,,529,L,CADE,17.6,6.8,3,IN,2,,2,1.3,0,0,0,0,,0.577456,0.2618952838
Laguna Mtn,2017,97,,528,L,PIJE,47.5,18.6,7,CO,6.8,,1,0.57,0,10,0,0,,1.558475,1.907609873
Laguna Mtn,2017,97,,531,L,CADE,14.1,6,2.5,IN,3.05,,2,5.5,5,40,0,0,,0.462621,0.1680894931
Laguna Mtn,2017,97,,534,L,QUKE,25.5,8.2,2.6,IN,3.7,,1,0,0,0,0,0,,0.836655,0.5497721084
Laguna Mtn,2017,97,,533,L,CADE,52.8,16.6,4.2,CO,5.4,,1,3,0,0,0,0,,1.732368,2.357057554
Laguna Mtn,2017,97,,535,L,QUKE,18.5,8.2,1.8,IN,3.3,,1,0,0,0,0,0,,0.606985,0.289364866
Laguna Mtn,2017,97,,536,L,PIJE,10.5,4,1.5,IN,1.9,,1,0,0,0,0,0,,0.344505,0.0932139561
Laguna Mtn,2017,97,,539,L,QUKE,24.7,10.2,2,CO,6.6,,1,0,0,0,0,0,,0.810407,0.5158177095
Laguna Mtn,2017,97,,540,L,CADE,43,13.2,3,CO,5.1,,2,1.4,,,0,0,,1.41083,1.563288933
Laguna Mtn,2017,97,,537,D,CADE,15.2,4.8,2,,2.6,1,,1,4.8,100,0,0,,0.498712,0.1953392509
Laguna Mtn,2017,97,,538,L,CADE,19.2,7.8,2.5,IN,3.1,,2,1.1,2.7,25,0,0,,0.629952,0.311677032
Laguna Mtn,2017,97,,541,L,CADE,33.4,11.6,2.2,CO,3.25,,3,2,2.8,60,0,0,,1.095854,0.9431815044
Laguna Mtn,2017,97,,542,L,CADE,23.6,9,5.8,IN,1.4,,2,1.35,0,0,0,0,,0.774316,0.4708974602
Laguna Mtn,2017,97,,543,L,PIJE,48.8,17.8,5.2,CO,5.9,,1,0.85,5.5,40,0,0,,1.601128,2.013455271
