Project,Date,ID,Treatment,Tag #,Status,Species,DBH (cm),Height (m),Heigt to crown (m),Crown class,Crown width,Decay class,Tree health (1-5),Notes,Scorch HT,Bole Char,DBH (ft),Basal Area (sq ft) Indiv.
Laguna Mtn.,2016,80,35,638,L,PIJE,33.1,12,3.4,CO,6,,1,,,,1.086011,0.9263142171
Laguna Mtn.,2016,80,35,639,L,PIJE,32.5,14.2,5.2,CO,4,,1,,,,1.066325,0.8930362007
Laguna Mtn.,2016,80,35,640,L,QUCH,13,6.2,1,IM,1,,1,,,,0.42653,0.1428857921
Laguna Mtn.,2016,80,35,641,L,QUCH,30.8,6.2,1,IM,8,,1,,,,1.010548,0.8020543067
Laguna Mtn.,2016,80,35,642,L,PIJE,61,19.2,10.4,DO,9,,1,,,,2.00141,3.146023861
Laguna Mtn.,2016,80,35,643,L,PIJE,19.2,7,3.2,IM,4,,1,,,,0.629952,0.311677032
Laguna Mtn.,2016,80,35,644,D,QUKE,64.2,2.1,N/A,N/A,N/A,3,5,,,,2.106402,3.484756191
Laguna Mtn.,2016,80,35,645,D,QUKE,49.1,2.3,N/A,N/A,N/A,3,5,,,,1.610971,2.038286961
Laguna Mtn.,2016,80,35,646,L,PIJE,48.3,16.8,6,CO,6,,1,,,,1.584723,1.972407311
Laguna Mtn.,2016,80,35,647,L,PIJE,29.6,13,4.6,CO,6,,1,,,,0.971176,0.7407740569
Laguna Mtn.,2016,80,35,648,L,PIJE,32.9,12.2,5.8,IM,5,,1,,,,1.079449,0.9151539068
Laguna Mtn.,2016,80,35,649,L,PIJE,31.8,11.6,5.8,IM,5,,1,,,,1.043358,0.8549812332
Laguna Mtn.,2016,80,35,650,L,PIJE,24.6,9.8,5,IM,4,,1,,,,0.807126,0.5116495027
Laguna Mtn.,2016,81,35,609,L,QUCH,26.4,9,0,IM,6,,1,,,,0.866184,0.5892643886
Laguna Mtn.,2016,81,35,610,L,QUCH,23.7,9,2,IM,5,,1,,,,0.777597,0.4748965714
Laguna Mtn.,2016,81,35,611,L,QUCH,22.4,9,1.2,IM,5,,1,,,,0.734944,0.4242270713
Laguna Mtn.,2016,81,35,612,L,QUCH,21.3,9,1.2,IM,5,,1,,,,0.698853,0.383584941
Laguna Mtn.,2016,81,35,613,L,QUCH,21.8,10.5,2.2,IM,6,,1,,,,0.715258,0.4018049932
Laguna Mtn.,2016,81,35,614,L,QUCH,20.3,10.5,2.2,IM,6,,1,,,,0.666043,0.3484130537
Laguna Mtn.,2016,81,35,615,L,PIJE,70.6,21.2,9.4,IM,11.5,,1,,,,2.316386,4.214167022
Laguna Mtn.,2016,81,35,616,L,QUCH,9.8,5,0,IM,4,,1,,,,0.321538,0.08119971287
Laguna Mtn.,2016,81,35,617,L,QUCH,10.8,5,0,IM,4,,1,,,,0.354348,0.0986165609
Laguna Mtn.,2016,81,35,618,L,QUKE,16.2,8,0.1,IM,3,,2,,,,0.531522,0.221887262
Laguna Mtn.,2016,81,35,619,L,QUKE,16.2,8,0.5,IM,3,,1,,,,0.531522,0.221887262
