FOREST,RANGER DISTRICT,Site_Year,Plot ID,Plot Size (acres),Treatment Unit,Easting,Northing, Cover (%) Live,,,,Tree Density (trees per acre),,,,,Basal Area (ft2 per acre),,,,,,,,,,Fuels (tons per acre),,,,,Fuel Height (in.),,Distance to crown (ft) 
,,,,,,,,TREE,SHRUB,HERB,BROMUS SP.,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag ,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,1hr ,10hr,100hr,CWD,Total,Duff/Litter,Fuel ,
LBNF,,Thomas_2018,BC1,1//10,,298424,3822263,8,1.5,4,0,0,0,180,40,0,166.8440193,50,25.52954821,20,0,0,0,0,0,0,0.08836784928,0.1404273118,0,0.9890431,1.217838261,0.09842519685,0.1804461942,n/a
LBNF,,Thomas_2018,BC2,1//10,,298262,3822354,61,0.5,1,0,40,150,90,0,0,45.31534122,10,9.344984448,10,90.54249907,110,22.05074418,30,112.5932433,140,0.4549798697,0.2798197582,1.670204439,0,2.405004067,0.9842519685,0.5905511811,12.55352989
LBNF,,Thomas_2018,BC3,1//10,,298407,3822698,3,1.8,13.5,0,0,0,80,0,0,162.9095026,80,6.878386756,0,0,0,0,0,0,0,0.01453340857,0,0,0,0.01453340857,1.57480315,0.0656167979,n/a
LBNF,,Thomas_2018,BC4,1//10,,298752,3821985,28,0.5,22.5,0,40,0,110,0,0,0,0,10.48574065,30,224.5098504,40,0,0,224.5098504,40,0.1149935859,2.062803594,0,0,2.17779718,0.3937007874,1.148293963,50.442915
LBNF,,Thomas_2018,BC5,1//10,,299952,3821912,55,0.5,1,0,30,0,30,0,70,0,0,2.90134251,0,161.8490195,50,0,0,161.8490195,50,0.2225718727,0.4888124466,1.302565053,0,2.013949373,0.2952755906,0.3937007874,17.27909067
LBNF,,Thomas_2018,BC6,1//10,,300114,3821966,31,0.5,2.5,0,40,20,70,0,70,16.21998929,0,8.535122151,30,93.30678959,70,7.106412189,0,100.4132018,70,0.1712618831,0,1.308125226,2.827838378,4.307225488,0.7381889764,0.9022309711,30.62117333
LBNF,,Thomas_2018,BC7,1//10,,298189,3822595,48,1.1,3.5,0,50,10,20,0,0,0,0,2.732585089,0,179.5331232,60,3.247988515,0,182.7811117,60,0.1675731137,0.279266262,0,12.66624921,13.11308858,1.427165354,0.9186351706,48.33770933
LBNF,,Thomas_2018,BC8,1//10,,300302,3823239,0,1,1,0,0,0,20,0,0,22.61748926,20,0,0,0,0,0,0,0,0,0.07827560188,0,1.275907832,0,1.354183434,0.1968503937,0.2296587927,n/a
LBNF,,Thomas_2018,BC9,1//10,,292336,3825104,60,1,12.5,8,60,0,10,0,0,0.9410382176,10,0,0,231.6877478,20,0,0,231.6877478,20,0.2879721084,1.296070455,3.241153152,0,4.825195715,1.181102362,1.312335958,20.013124
LBNF,,Thomas_2018,BC10,1//10,,292126,3825085,61.5,3.7,3.7,1.5,40,40,10,0,140,0,0,0.8454780598,10,295.3485679,60,8.234322194,20,303.58289,80,0.1085710327,0.321539919,0,0,0.4301109517,2.559055118,1.082677165,15.7890425
LBNF,,Thomas_2018,BC11,1//10,,291790,3824989,49,6.2,6,0,60,50,0,10,1680,0,0,0,0,165.8023904,70,12.02929274,20,177.8316831,90,0.4112962259,1.146930928,3.92137562,0,5.479602774,2.50984252,2.49343832,11.18468182
LBNF,,Thomas_2018,BC12,1//10,,270783,3818567,22,3,8,1,20,50,50,0,0,0,10,4.647677443,20,138.2405666,30,8.239860076,30,146.4804266,60,0.1232771005,0.1772323729,0,0,0.3005094733,1.328740157,0.531496063,16.96662971
LBNF,,Thomas_2018,PIPO-1,1//10,,292063,3824903,15.51,6,35,0,30,0,20,0,20,78.59158215,20,0,0,202.1194777,30,0,0,202.1194777,30,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.16666667
LBNF,,Thomas_2018,PIPO-2,1//10,,291414,3824672,32,10,14,0,20,0,120,0,10,0,10,23.49959766,0,98.13988037,30,0,50,98.13988037,80,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16.55
LBNF,,Thomas_2018,PIPO-3,1//10,,291304,3824663,6.5,3.2,18,2,10,0,150,0,20,194.9325126,140,0,0,70.39925908,10,0,0,70.39925908,10,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17
