Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,11814be3-77a6-47b6-8deb-de4bea486b09,L,TO,,9,,,,,,-2147483648,PIJE
-2147483647,11814be3-77a6-47b6-8deb-de4bea486b09,D,TO,,0.5,,,,,,-2147483647,PIJE
-2147483646,11814be3-77a6-47b6-8deb-de4bea486b09,D,SA,,0.5,,,,,,-2147483646,PIJE
-2147483645,11814be3-77a6-47b6-8deb-de4bea486b09,L,SE,,0.5,,,,,,-2147483645,PIJE
-2147483644,35344058-051f-4a17-a61e-06c1db5a823c,D,SA,,0.5,,,,,,-2147483644,ABCO
-2147483643,35344058-051f-4a17-a61e-06c1db5a823c,L,SA,,0.5,,,,,,-2147483643,ABCO
-2147483642,6c6f8814-49f7-468c-8b5f-e6d0c01215a6,D,MD,,2,,,,,,-2147483642,ARPA6
-2147483641,6c6f8814-49f7-468c-8b5f-e6d0c01215a6,L,MD,,1,,,,,,-2147483641,ARPA6
-2147483640,56e8a8a1-ebdb-4501-9c84-8675286dcc2f,L,NA,,0.5,,,,,,-2147483640,LEPTO22
-2147483639,2d19ee3a-1a2e-4fe4-8cbd-95a024a0e627,L,NA,,0.5,,,,,,-2147483639,PECA3
-2147483638,930b87b2-05e0-4dcb-980e-65753dbb48a0,L,NA,,0.5,,,,,,-2147483638,HIHO
