FOREST,RANGER DISTRICT,Site_Year,Plot ID,Plot Size (acres),Treatment Unit,Easting,Northing, Cover (%) Live,,,,Tree Density (trees per acre),,,,,Basal Area (ft2 per acre),,,,,,,,,,Fuels (tons per acre),,,,,Fuel Height (in.),,Distance to crown (ft) 
,,,,,,,,TREE,SHRUB,HERB,BROMUS SP.,"Live Conifer (>3""dbh)","Live Hardwood (>3""dbh)",Snag ,Sapling,Seedling,Dead Conifer (by DBH),Dead Conifer BAF,Dead Hardwood (by DBH),Dead Hardwood BAF,Live Conifer (by DBH),Live Conifer BAF,Live Hardwood (by DBH),Live Hardwood BAF,Total Live Tree (by DBH),Total live BAF,1hr ,10hr,100hr,CWD,Total,Duff/Litter,Fuel ,
San Bernarndino,,BluffMesa_2016,1,1//10,Unit E,502567,3785340,5.5,40,0,0,0.00,0.00,10.00,0.00,70.00,14.63,10,0,0,0.00,80,0,0,0,80,0.5092810091,2.56871919,1.137533917,2.096410616,6.311944732,1.279527559,1.55839895,N/A
San Bernarndino,,BluffMesa_2016,2,1//10,Unit D,503276,3785759,16,18,1,0,60.00,0.00,0.00,0.00,1960.00,0.00,20,0,0,58.99,100,0,0,58.98899979,100,0.4079105938,2.438956774,1.38565901,0.3966047901,4.629131169,0.9350393701,1.591207349,7.71
San Bernarndino,,BluffMesa_2016,3,1//10,Unit E,503265,3785189,24,3,0.5,0,70.00,0.00,0.00,0.00,910.00,0.00,10,0,0,69.21,90,0,0,69.21473591,90,0.221915805,2.921523655,0,0,3.14343946,0.7874015748,0.5413385827,9.00
San Bernarndino,,BluffMesa_2016,4,1//10,Unit D,503596,3785291,11,30,1,0,10.00,0.00,0.00,0.00,0.00,0.00,10,0,0,86.75,90,0,0,86.75187588,90,0.1698856708,0.9868611768,1.742738165,1.118179561,4.017664573,1.697834646,2.362204724,19.02
San Bernarndino,,BluffMesa_2016,5,1//10,Unit D,503281,3785486,52.5,33,1,0,60.00,0.00,0.00,0.00,0.00,0.00,5,0,0,149.49,220,0,0,149.4915578,220,0.1838644151,2.726110563,0,0.8213470828,3.731322061,2.559055118,2.427821522,17.06
San Bernarndino,,BluffMesa_2016,6,1//10,Unit E,502980,3785570,20,12,2,0,20.00,0.00,10.00,0.00,0.00,53.84,45,0,0,98.86,100,0,0,98.85726458,100,0.2626018887,2.933399791,1.385963965,39.97821948,44.56018513,6.200787402,2.673884514,38.05
San Bernarndino,,BluffMesa_2016,8,1//10,Control,503781,3785833,71,50,0,0,410.00,0.00,0.00,0.00,0.00,0.00,0,0,0,242.01,245,0,0,242.0132587,245,0.1752154212,0.7679517712,0.2768229009,0,1.219990093,2.411417323,5.396981627,10.71
San Bernarndino,,BluffMesa_2016,9,1//10,Unit B,503104,3785963,45.5,0.5,1.5,0,90.00,0.00,10.00,0.00,70.00,27.47,15,0,0,201.40,190,0,0,201.4023984,190,0.2871740461,1.824874582,1.947620262,19.26438055,23.32404944,2.066929134,1.656824147,24.05
San Bernarndino,,BluffMesa_2016,10,1//10,Unit E,502639,3785631,40.5,15,3,0,40.00,0.00,0.00,0.00,0.00,0.00,10,0,0,349.28,240,0,0,349.2814486,240,0.3177180546,1.961240253,1.394782564,0.2341875938,3.907928466,2.952755906,1.541994751,41.16
San Bernarndino,,BluffMesa_2016,11,1//10,Control,502433,3785729,45.5,43,1,0,60.00,0.00,0.00,0.00,70.00,0.00,0,0,0,105.30,120,0,0,105.2982491,120,0.2667622198,8.939057715,1.663666168,1.97939779,12.84888389,2.952755906,2.739501312,17.99
San Bernarndino,,BluffMesa_2016,12,1//10,Unit E,502923,3785283,65.5,11,0,0,100.00,0.00,0.00,0.00,0.00,0.00,0,0,0,230.67,255,0,0,230.6670352,255,0.1712356179,3.834500675,3.604576078,9.460593543,17.07090591,3.641732283,3.001968504,20.73
San Bernarndino,,BluffMesa_2016,17,1//10,Control,504574,3785067,0,48,2,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0.00,0,0,0,0,0,0.2405936292,0.9935905338,0.5615998389,1.877717227,3.673501229,0.688976378,4.215879265,N/A
San Bernarndino,,BluffMesa_2016,18,1//10,Control,504781,3785160,16,54,0,0,80.00,0.00,0.00,0.00,0.00,0.00,0,0,0,17.02,10,0,0,17.0202651,10,0.3135832498,0.6980305691,1.391930114,0,2.403543933,1.55019685,2.452427822,5.41
