Index,Spp_GUID,Status,SizeCl,AgeCl,Cover,Height,Comment,UV1,UV2,UV3,Index,Species
-2147483648,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,TO,,20,,,,,,-2147483648,QUKE
-2147483647,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SA,,2.5,,,,,,-2147483647,QUKE
-2147483646,50b2af91-9399-4dda-82e5-6eb0f20b7b96,L,TO,,5.5,,,,,,-2147483646,PIJE
-2147483645,a7bf19df-35ed-4691-8ca5-4e4e2a426665,L,SE,,0.5,,,,,,-2147483645,QUKE
-2147483644,64bea1ee-8552-4023-b18a-c4dac7c98c9d,L,TL,,1,,,,,,-2147483644,PRVID
-2147483643,64bea1ee-8552-4023-b18a-c4dac7c98c9d,L,MD,,0.5,,,,,,-2147483643,PRVID
-2147483642,64bea1ee-8552-4023-b18a-c4dac7c98c9d,D,MD,,0.5,,,,,,-2147483642,PRVID
-2147483641,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,TL,,16,,,,,,-2147483641,CEPA
-2147483640,8c05246c-bf5c-4d53-9d2f-8751829c726f,L,MD,,1,,,,,,-2147483640,CEPA
-2147483639,af962090-d204-4953-91c6-4a9cc7f1f9a5,L,LW,,0.5,,,,,,-2147483639,ERCO25
-2147483638,138c8278-8635-4bee-b2ee-6162948dac36,L,MD,,0.5,,,,,,-2147483638,CEBE3
-2147483637,e78cc19f-5c3b-40d0-afcc-55f43d726a65,L,NA,,1.5,,,,,,-2147483637,BRTE
-2147483636,d38f3d01-7a24-4d88-9d92-50b20a0eeee8,L,NA,,0.5,,,,,,-2147483636,SOCA5
