SubFrac,TagNo,Status,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Species
1,605,L,55.05,26,7.6,C,2,,FALSE,,90,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,PIJE
1,606,L,16.75,6.8,10,I,2.35,,FALSE,,100,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,PIJE
1,608,L,47.7,24,15.8,C,1.95,,FALSE,,100,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,,PIJE
1,609,L,52.75,28,11,C,2.5,,FALSE,,100,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,PIJE
1,610,L,81.6,24,2.6,I,4.5,,FALSE,,90,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,QUKE
1,612,L,67.6,28.4,16,C,2.7,,FALSE,,90,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,,PIJE
1,614,L,8.35,6.6,2.5,S,1.25,,FALSE,,100,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,QUKE
1,615,L,7.85,6.6,2.6,S,0.75,,FALSE,,100,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,QUKE
1,617,L,56.9,26,15,C,2.95,,FALSE,,100,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,PIJE
1,622,L,9.5,6.5,1.5,I,1.15,,FALSE,,90,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,QUKE
1,623,D,79.4,8.4,,,,3,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUKE
1,624,D,70.7,8.9,,,,2,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUKE
