SubFrac,TagNo,Status,Spp_GUID,DBH,Ht,LiCrBHt,CrwnCl,CrwnRad,DecayCl,Index,IsVerified,QTR,CrwnRto,CrFuBHt,Age,GrwthRt,Mort,LaddBaseHt,LaddMaxHt,DRC,NuLiStems,NuDeStems,EqDia,XCoord,YCoord,CKR,CharHt,ScorchHt,CrScPct,DamCd1,DamSev1,DamCd2,DamSev2,DamCd3,DamSev3,DamCd4,DamSev4,DamCd5,DamSev5,Comment,UV1,UV2,UV3,Index,Species
1,212,L,a7bf19df-35ed-4691-8ca5-4e4e2a426665,49.3,14.2,7.6,C,6.4,,-2147483648,False,,60,,,,,,,,,,,,,,1.36,7.6,40,,,,,,,,,,,,,,,-2147483648,QUKE
1,213,L,a7bf19df-35ed-4691-8ca5-4e4e2a426665,39.5,8.4,5.8,C,4.5,,-2147483647,False,,40,,,,,,,,,,,,,,0.6,5.8,60,,,,,,,,,,,,,,,-2147483647,QUKE
1,214,D,a7bf19df-35ed-4691-8ca5-4e4e2a426665,21,4,,,,5,-2147483646,False,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,-2147483646,QUKE
1,215,D,a7bf19df-35ed-4691-8ca5-4e4e2a426665,,,,,,,-2147483645,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gone.,,,,-2147483645,QUKE
1,216,L,a7bf19df-35ed-4691-8ca5-4e4e2a426665,35.05,10.8,7.9,C,1.5,,-2147483644,False,,30,,,,,,,,,,,,,,0.3,9.2,70,,,,,,,,,,,,,,,-2147483644,QUKE
1,217,D,50b2af91-9399-4dda-82e5-6eb0f20b7b96,13.15,4.3,,,,1,-2147483643,False,,,,,,,,,,,,,,,,1.6,4.3,100,,,,,,,,,,,,,,,-2147483643,PIJE
1,218,D,50b2af91-9399-4dda-82e5-6eb0f20b7b96,23.85,8,,,,1,-2147483642,False,,,,,,,,,,,,,,,,3.2,8,100,,,,,,,,,,,,,,,-2147483642,PIJE
1,220,D,a7bf19df-35ed-4691-8ca5-4e4e2a426665,64,9,,,,1,-2147483641,False,,,,,,,,,,,,,,,,2.96,9,80,,,,,,,,,,,,,,,-2147483641,QUKE
1,221,D,a7bf19df-35ed-4691-8ca5-4e4e2a426665,48.1,9.7,,,,1,-2147483640,False,,,,,,,,,,,,,,,,4,9.6,80,,,,,,,,,,,,,,,-2147483640,QUKE
1,222,L,50b2af91-9399-4dda-82e5-6eb0f20b7b96,25.65,12.6,8.4,C,1.25,,-2147483639,False,,40,,,,,,,,,,,,,,3.9,8.4,60,,,,,,,,,,,,,,,-2147483639,PIJE
1,223,D,50b2af91-9399-4dda-82e5-6eb0f20b7b96,18.05,6.8,,,,1,-2147483638,False,,,,,,,,,,,,,,,,6.8,6.8,80,,,,,,,,,,,,,,,-2147483638,PIJE
1,224,L,a7bf19df-35ed-4691-8ca5-4e4e2a426665,92.7,10.9,4.2,C,3,,-2147483637,False,,30,,,,,,,,,,,,,,0.3,6.5,60,,,,,,,,,,,,,,,-2147483637,QUKE
