Project,Site,Date,Plot ID,Burn Severity,Tag #,Status,Species,DBH (cm),Height (m),Heigt to crown (m),Crown class,Crown width,Decay class/Health,Scorch HT,Scorch (%),Torch HT,Torch (%),Bole Char,Resprouting?,DBH (ft),Basal Area (sq ft) Indiv.,Notes
Thomas Fire,Dry Lakes,2018,PIPO-1,4,467,L,PIPO,91.2,27.6,24.0,CO,10.0,4,21.0,75,0.0,0,20.0,N,2.992272,7.032213034,
Thomas Fire,Dry Lakes,2018,PIPO-1,4,468,D,PIPO,54.4,20.1,,,,1,,,,,,N,1.784864,2.502073951,
Thomas Fire,Dry Lakes,2018,PIPO-1,4,469,L,PIPO,107.5,26.3,23,CO,8.5,4,23,90,0,0,19,N,3.527075,9.770555829,
Thomas Fire,Dry Lakes,2018,PIPO-1,4,470,D,PIPO,79.6,26,,,,1,,,,,,N,2.611676,5.357084264,
Thomas Fire,Dry Lakes,2018,PIPO-1,4,471,L,PIPO,63.5,27.4,22.5,CO,4,4,24,90,0,0,20,N,2.083435,3.409178907,
Thomas Fire,Dry Lakes,2018,PIPO-2,3,484,L,PIPO,49.1,19,14.1,CO,4.5,4,12,85,0,0,9,N,1.610971,2.038286961,
Thomas Fire,Dry Lakes,2018,PIPO-2,3,490,D,QUWI,11.1,6.5,,,,1,,,,,,Y,0.364191,0.1041713518,
Thomas Fire,Dry Lakes,2018,PIPO-2,3,491,D,QUWI,15.8,8.2,,,,1,,,,,,Y,0.518398,0.2110651429,
Thomas Fire,Dry Lakes,2018,PIPO-2,3,492,D,QUWI,16.35,8,,,,1,,,,,,Y,0.5364435,0.2260153087,
Thomas Fire,Dry Lakes,2018,PIPO-2,3,493,D,QUWI,7.9,6.9,,,,1,,,,,,Y,0.259199,0.05276628571,
Thomas Fire,Dry Lakes,2018,PIPO-2,3,494,D,QUWI,12.4,6.8,,,,2,,,,,,Y,0.406844,0.1300007065,
Thomas Fire,Dry Lakes,2018,PIPO-2,3,487,L,PIPO,95.9,22,19,CO,8.5,4,20.5,20,14.5,70,20.5,N,3.146479,7.775701076,
Thomas Fire,Dry Lakes,2018,PIPO-2,3,495,D,QUWI,21.5,9,,,,1,,,,,,Y,0.705415,0.3908222332,
Thomas Fire,Dry Lakes,2018,PIPO-2,3,496,D,QUWI,25.1,8.7,,,,1,,,,,,Y,0.823531,0.5326596325,
Thomas Fire,Dry Lakes,2018,PIPO-3,4,407,D,PIPO,56.6,23,,,,1,,,,,,N,1.857046,2.708539693,
Thomas Fire,Dry Lakes,2018,PIPO-3,4,408,D,PIPO,8.3,3.5,,,,3,,,,,,N,0.272323,0.05824498354,
Thomas Fire,Dry Lakes,2018,PIPO-3,4,409,D,PIPO,40.8,8,,,,1,,,,,,N,1.338648,1.407416598,
Thomas Fire,Dry Lakes,2018,PIPO-3,4,410,D,PIPO,45,13.4,,,,1,,,,,,N,1.47645,1.712093071,
Thomas Fire,Dry Lakes,2018,PIPO-3,4,411,D,PIPO,8.2,3.5,,,,3,,,,,,N,0.269042,0.05684994474,
Thomas Fire,Dry Lakes,2018,PIPO-3,4,412,D,PIPO,21,6,,,,1,,,,,,N,0.68901,0.3728558244,
Thomas Fire,Dry Lakes,2018,PIPO-3,4,413,D,PIPO,31,6.3,,,,1,,,,,,N,1.01711,0.8125044155,
