Project,Site,Date,X,Y,Status,Species,Tree #,DBH(cm),Height (m),Height to Crown Base,Crown Width,Crown Class,Health/Decay Class,Bole Char (m),Scorch Height (m),Scorch %,Torch Height (m),Torch %,scorch + torch,percent green,DBH (ft),Basal Area (sq ft) Indiv.,Notes
Thomas Fire,Dry Lakes,2018,292131,3824911,D,PIPO,472,3.8,2.1,,,,2,,,,,,0.0,,0.124678,0.01220870318,
Thomas Fire,Dry Lakes,2018,292130,3824910,D,PIPO,473,8.7,3.4,,,,2,,,,,,0.0,,0.285447,0.06399423435,
Thomas Fire,Dry Lakes,2018,292124,3824897,D,PIPO,474,17.9,5.3,,,,1,,,,,,0.0,,0.587299,0.2708996252,
Thomas Fire,Dry Lakes,2018,292123,3824903,D,PIPO,475,4.67,2.1,,,,2,,,,,,0.0,,0.1532227,0.01843894646,
Thomas Fire,Dry Lakes,2018,292102,3824858,D,PIPO,476,18.2,4.8,,,,1,,,,,,0.0,,0.597142,0.2800561525,
Thomas Fire,Dry Lakes,2018,292068,3824857,D,PIPO,477,80,25.6,,,,2,,,,,,0.0,,2.6248,5.411059583,
Thomas Fire,Dry Lakes,2018,292066,3824875,D,PIPO,478,92.2,28.2,,,,1,,,,,,0.0,,3.025082,7.18727371,
Thomas Fire,Dry Lakes,2018,292020,3824841,D,PIPO,479,65,19.9,,,,1,,,,,,0.0,,2.13265,3.572144803,
Thomas Fire,Dry Lakes,2018,291964,3824861,D,PIPO,480,33.89,10.8,,,,2,,,,,,0.0,,1.1119309,0.9710586916,
Thomas Fire,Dry Lakes,2018,291934,3824853,D,PIPO,481,97.05,23.9,,,,1,,,,,,0.0,,3.1842105,7.963306316,
Thomas Fire,Dry Lakes,2018,291903,3824857,D,PIPO,482,18.25,5.5,,,,2,,,,,,0.0,,0.5987825,0.2815970363,
Thomas Fire,Dry Lakes,2018,292050,3824945,D,PIPO,483,20.45,6.1,,,,2,,,,,,0.0,,0.6709645,0.3535810383,
Thomas Fire,Dry Lakes,2018,291419,3824675,L,PIPO,484,49.1,19,14.1,4.5,CO,4,9,12,85,0,0,85.0,15.0,1.610971,2.038286961,
Thomas Fire,Dry Lakes,2018,291424,3824674,L,PIPO,485,61.65,18.8,15,5,CO,4,14,12.5,30,10,65,95.0,5.0,2.0227365,3.213427485,
Thomas Fire,Dry Lakes,2018,291427,3824672,D,PIPO,486,64.7,NO DATA,,,,1,,,,,,0.0,,2.122807,3.539247252,
Thomas Fire,Dry Lakes,2018,291418,3824668,L,PIPO,487,95.9,22,19,8.5,CO,4,20.5,20.5,20,14.5,70,90.0,10.0,3.146479,7.775701076,
Thomas Fire,Dry Lakes,2018,291402,3824744,D,PIPO,488,145.4,30.8,,,,1,,,,,,0.0,,4.770574,17.87438694,
Thomas Fire,Dry Lakes,2018,291347,3824756,L,PIPO,489,144.7,27.4,14,7,CO,4,27.4,16,15,9,40,55.0,45.0,4.747607,17.70269571,
Thomas Fire,Dry Lakes,2018,291301,3824667,D,PIPO,407,56.6,23,,,,1,,,,,,0.0,,1.857046,2.708539693,
Thomas Fire,Dry Lakes,2018,291301,3824665,D,PIPO,408,8.3,3.5,,,,3,,,,,,0.0,,0.272323,0.05824498354,
Thomas Fire,Dry Lakes,2018,291304,3824667,D,PIPO,409,40.8,8,,,,1,,,,,,0.0,,1.338648,1.407416598,
Thomas Fire,Dry Lakes,2018,291304,3824667,D,PIPO,410,45,13.4,,,,1,,,,,,0.0,,1.47645,1.712093071,
Thomas Fire,Dry Lakes,2018,291304,3824666,D,PIPO,411,8.2,3.5,,,,3,,,,,,0.0,,0.269042,0.05684994474,
Thomas Fire,Dry Lakes,2018,291301,3824665,D,PIPO,412,21,6,,,,1,,,,,,0.0,,0.68901,0.3728558244,
Thomas Fire,Dry Lakes,2018,291301,3824664,D,PIPO,413,31,6.3,,,,1,,,,,,0.0,,1.01711,0.8125044155,
Thomas Fire,Dry Lakes,2018,291301,3824664,D,PIPO,414,18.2,7.4,,,,3,,,,,,0.0,,0.597142,0.2800561525,
Thomas Fire,Dry Lakes,2018,291304,3824660,D,PIPO,415,9.3,3.3,,,,3,,,,,,0.0,,0.305133,0.0731253974,
Thomas Fire,Dry Lakes,2018,291302,3824660,D,PIPO,416,78,17,,,,1,,,,,,0.0,,2.55918,5.143888516,
Thomas Fire,Dry Lakes,2018,291301,3824662,L,PIPO,417,91.25,24.4,17,7.5,CO,4,17,17.5,5,15,50,55.0,45.0,2.9939125,7.039925908,
Thomas Fire,Dry Lakes,2018,291302,3824664,D,PIPO,418,46.1,13.6,,,,1,,,,,,0.0,,1.512541,1.796818428,
Thomas Fire,Dry Lakes,2018,291300,3824664,D,PIPO,419,18.5,6.1,,,,2,,,,,,0.0,,0.606985,0.289364866,
