LastName,FirstName,DatasetID,Dataset,SpeciesName,AccSpeciesID,AccSpeciesName,ObservationID,ObsDataID,TraitID,TraitName,DataID,DataName,OriglName,OrigValueStr,OrigUnitStr,ValueKindName,OrigUncertaintyStr,UncertaintyName,Replicates,StdValue,UnitName,RelUncertaintyPercent,OrigObsDataID,ErrorRisk,Reference,Comment,StdValueStr
Wright,Ian,20,GLOPNET - Global Plant Trait Network Database,Quercus chapmanii,45342,Quercus chapmanii,1288477,8556682,3113,"Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)",6580,Leaf area: in case of compound leaves leaflet; undefined if petiole in- or excluded,LfSize,15.76,cm2,Single,,,,1576,mm2,,,1.08963,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",leaf size (cm2) refers to LEAFLETS for compound-lvd species,
Wright,Ian,20,GLOPNET - Global Plant Trait Network Database,Quercus keloggii,45408,Quercus kelloggii,1290314,8762012,3113,"Leaf area (in case of compound leaves: leaflet, undefined if petiole is in- or excluded)",6580,Leaf area: in case of compound leaves leaflet; undefined if petiole in- or excluded,LfSize,40.89,cm2,Single,,,,4089,mm2,,,0.695026,"Wright, I. J., P. B. Reich, M. Westoby, D. D. Ackerly, Z. Baruch, F. Bongers, J. Cavender-Bares, T. Chapin, J. H. C. Cornelissen, M. Diemer, J. Flexas, E. Garnier, P. K. Groom, J. Gulias, K. Hikosaka, B. B. Lamont, T. Lee, W. Lee, C. Lusk, J. J. Midgley, M. L. Navas, U. Niinemets, J. Oleksyn, N. Osada, H. Poorter, P. Poot, L. Prior, V. I. Pyankov, C. Roumet, S. C. Thomas, M. G. Tjoelker, E. J. Veneklaas, and R. Villar. 2004. The worldwide leaf economics spectrum. Nature 428:821-827.",leaf size (cm2) refers to LEAFLETS for compound-lvd species,
Cavender-Bares,Jeannine,54,Floridian Leaf Traits Database,Quercus chapmanii,45342,Quercus chapmanii,153595,1599658,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",6575,Leaf area: in case of compound leaves leaf; petiole excluded,Leaf Area (cm^2),14.76,cm2,Single,,,,1476,mm2,,,0.679916,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature. ",
Cavender-Bares,Jeannine,54,Floridian Leaf Traits Database,Quercus chapmanii,45342,Quercus chapmanii,153596,1599676,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",6575,Leaf area: in case of compound leaves leaf; petiole excluded,Leaf Area (cm^2),28.2,cm2,Single,,,,2820,mm2,,,1.2482,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature. ",
Cavender-Bares,Jeannine,54,Floridian Leaf Traits Database,Quercus chapmanii,45342,Quercus chapmanii,153597,1599689,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",6575,Leaf area: in case of compound leaves leaf; petiole excluded,Leaf Area (cm^2),18.57,cm2,Single,,,,1857,mm2,,,0.44132,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature. ",
Cavender-Bares,Jeannine,54,Floridian Leaf Traits Database,Quercus chapmanii,45342,Quercus chapmanii,153598,1599703,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",6575,Leaf area: in case of compound leaves leaf; petiole excluded,Leaf Area (cm^2),14.29,cm2,Single,,,,1429,mm2,,,0.728072,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature. ",
Cavender-Bares,Jeannine,54,Floridian Leaf Traits Database,Quercus chapmanii,45342,Quercus chapmanii,153599,1599720,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",6575,Leaf area: in case of compound leaves leaf; petiole excluded,Leaf Area (cm^2),21.47,cm2,Single,,,,2147,mm2,,,0.60066,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature. ",
Cavender-Bares,Jeannine,54,Floridian Leaf Traits Database,Quercus chapmanii,45342,Quercus chapmanii,153600,1599733,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",6575,Leaf area: in case of compound leaves leaf; petiole excluded,Leaf Area (cm^2),24.14,cm2,Single,,,,2414,mm2,,,0.879025,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature. ",
Cavender-Bares,Jeannine,54,Floridian Leaf Traits Database,Quercus chapmanii,45342,Quercus chapmanii,153601,1599746,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",6575,Leaf area: in case of compound leaves leaf; petiole excluded,Leaf Area (cm^2),17,cm2,Single,,,,1700,mm2,,,0.529664,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature. ",
Cavender-Bares,Jeannine,54,Floridian Leaf Traits Database,Quercus chapmanii,45342,Quercus chapmanii,153602,1599764,3108,"Leaf area (in case of compound leaves: leaf, petiole excluded)",6575,Leaf area: in case of compound leaves leaf; petiole excluded,Leaf Area (cm^2),9.53,cm2,Single,,,,953,mm2,,,1.33092,"Cavender-Bares, J., A. Keen, and B. Miles. 2006. Phylogenetic structure of floridian plant communities depends on taxonomic and spatial scale. Ecology 87:S109-S122.","Leaf Area (cm^2), measured with a Licor leaf area meter with petiole removed, measured on pressed leaves, dried at room temperature. ",
